,Continental,"ContiSportContact 5",255,45,18,Y,99,,,,0,2350,2350,168,30.06.2014,Newtires
,Continental,"LDR 1+",215,75,17.5,,126,,,,4,2400,2400,446,30.06.2014,Newtires
,Continental,"LSR 1",215,75,17.5,,126,,,,2,1451,1451,445,30.06.2014,Newtires
,Dayton,"D 320",205,55,16,V,91,,,,4,675,675,129,30.06.2014,Newtires
,Dayton,"DW 510",155,65,13,T,73,,,,0,350,350,171,30.06.2014,Newtires
,Dayton,"DW 510",175,70,13,T,82,,,,0,425,425,185,30.06.2014,Newtires
,Dayton,"DW 510",185,55,15,T,82,,,,0,595,595,254,30.06.2014,Newtires
,Dayton,"DW 510",185,60,14,T,82,,,,0,475,475,223,30.06.2014,Newtires
,Dayton,"DW 510",185,60,15,T,84,,,,0,490,490,260,30.06.2014,Newtires
,Dayton,"DW 510",185,60,15,T,88,,,,4,525,525,261,30.06.2014,Newtires
,Dayton,"DW 510",195,50,15,H,82,,,,2,635,635,282,30.06.2014,Newtires
,Dayton,"DW 510",195,55,15,H,85,,,,4,650,650,284,30.06.2014,Newtires
,Dayton,"DW 510",195,60,15,T,88,,,,0,625,625,287,30.06.2014,Newtires
,Dayton,"DW 510",205,65,15,T,94,,,,0,700,700,320,30.06.2014,Newtires
,Debica,"Frigo 2",175,70,13,T,82,,,,2,415,415,187,30.06.2014,Newtires
,Debica,"Frigo 2",175,70,14,T,84,,,,0,450,450,217,30.06.2014,Newtires
,Debica,"Frigo 2",185,65,14,T,86,,,,4,450,450,234,30.06.2014,Newtires
,Debica,"Frigo 2",185,65,15,T,88,,,,4,495,495,271,30.06.2014,Newtires
,Debica,"Frigo 2",195,65,15,T,91,,,,4,500,500,298,30.06.2014,Newtires
,Debica,"Frigo Directional",155,70,13,T,75,,,,12,335,335,174,30.06.2014,Newtires
,Debica,"Frigo S-30",135,80,12,T,68,,,,0,360,360,170,30.06.2014,Newtires
,Debica,Navigator,185,60,14,T,82,,,,0,400,400,67,30.06.2014,Newtires
