Бренд;Модель;Наименование;Ширина;Диаметр;Крепеж (кол-во отверстий);PCD1;PCD2;Вылет (ET);Диаметр ступицы (DIA);Цвет диска;Тип диска;;Наличие ;Цена;;;;;;;;;
Кременчуг;ВАЗ 2103;Кременчуг ВАЗ 2103 5x13 4x98 ET29 DIA60,5;5;13;4;98;0;29;60,5;;стальной;21.10.2013 14:29;20;141;0;141;162,15;lv_ШипШина(Автосезони);Львов;47677;;;
Кременчуг;Daewoo;Кременчуг Daewoo 4,5x13 4x114,3 ET45 DIA69,3;4,5;13;4;114,3;0;45;69,3;;стальной;22.10.2013 17:32;4;190;0;190;218,5;kh_База МТС;Харьков;1000250376;;;
Евродиск;52A35D;Евродиск 52A35D 5,5x13 4x100 ET35 DIA57,1;5,5;13;4;100;0;35;57,1;;стальной;22.10.2013 12:59;20;327,7;0;327,7;376,85;kiev_Шинсервис;Киев;38100;;;
CAM;178;CAM 178 5,5x13 4x98 ET35 DIA67,1 (TB);5,5;13;4;98;0;35;67,1;TB;литой;22.10.2013 10:32;4;335,5;0;335,5;385,82;lg_Интершина;Луганск;1000235722;products/1000005370.jpg;;
Storm;BK-170;Storm BK-170 5,5x13 4x100 ET35 DIA60,1 (MS);5,5;13;4;100;0;35;60,1;MS;литой;15.10.2013 11:00;4;327,5;397,5;327,5;376,62;kir_СДК-Автобан;Кировоград;1000236044;products/1000003847.jpg;products/Storm_BK-170_2.jpg;
Storm;BK-350;Storm BK-350 5,5x13 4x100 ET35 DIA67,1 (MtBPF);5,5;13;4;100;0;35;67,1;MtBPF;литой;22.10.2013 11:06;4;395;395;395;454,25;zp_Шина Хаус;Запорожье;1000236118;products/1000003897.jpg;;
Storm;BK-351;Storm BK-351 5,5x13 4x100 ET35 DIA60,1 (MS);5,5;13;4;100;0;35;60,1;MS;литой;22.10.2013 17:32;4;350;0;350;402,5;kh_База МТС;Харьков;1000236115;products/1000003898.jpg;products/1000003899.jpg;products/1000003900.jpg
Sportmax Racing;SR210;Sportmax Racing SR210 5,5x13 4x100 ET35 DIA67,1 (HB);5,5;13;4;100;0;35;67,1;HB;литой;22.10.2013 11:55;4;346,5;429;346,5;398,47;kiev_Шинный ряд;Киев;1000235704;products/1000007722.jpg;;
Lawu;SL-627;Lawu SL-627 5,5x13 4x100 ET35 DIA67,1 (MS);5,5;13;4;100;0;35;67,1;MS;литой;21.10.2013 13:13;4;348,62;371,25;348,62;400,91;kiev_Склад колес;Киев;1000236564;products/1000005494.jpg;;
Sportmax Racing;SR2020;Sportmax Racing SR2020 5,5x13 4x100 ET25 DIA67,1 (HB);5,5;13;4;100;0;25;67,1;HB;литой;21.10.2013 14:03;4;349;0;349;401,35;kiev_Шинные технологии;Киев;1000235707;products/1000007727.jpg;;
Sportmax Racing;SR2025;Sportmax Racing SR2025 5,5x13 4x100 ET25 DIA67,1 (HB);5,5;13;4;100;0;25;67,1;HB;литой;22.10.2013 14:31;4;402;418,75;402;462,3;mr_Отраднов ЧП;Мариуполь;1000235709;products/1000007728.jpg;;
Sportmax Racing;SR2026;Sportmax Racing SR2026 5,5x13 4x100 ET25 (BP);5,5;13;4;100;0;25;67,1;BP;литой;22.10.2013 11:55;4;379,5;470,25;379,5;436,42;kiev_Шинный ряд;Киев;1000235710;products/1000007729.jpg;;
